unix_time,moisture,temp_c
1788939138,697,26.08
1788939434,715,26.08
1788939731,712,25.87
1788940027,708,26.38
1788940324,697,26.17
1788940620,702,26.08
1788940917,752,26.28
1788941213,750,25.87
1788941509,702,25.87
1788941806,696,25.87
1788942103,692,25.98
1788942399,728,26.17
1788942696,765,25.87
1788942993,721,25.87
1788943289,716,25.66
1788943586,742,25.66
1788943883,751,25.98
1788944179,713,25.66
1788944476,750,26.17
1788944773,711,25.66
1788945070,720,25.87
1788945366,699,25.56
1788945663,735,25.77
1788945960,757,25.87
1788946257,712,25.98
1788946554,742,25.77
1788946851,749,25.56
1788947147,758,26.17
1788947444,726,25.77
1788947741,744,25.66
1788948038,719,26.08
